,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
T159,Caleb Martin,PHI,F,14,33.6,10.4,5.4,2.6,1.2,0.5,0.9,42.7,68.1,2.1,3.0,31.0,3.6,8.4,2.3,3.4,0.1,0.0,2.1,23.8
T159,Grant Williams,CHA,F,14,29.0,10.4,5.1,2.4,1.1,0.8,1.7,44.9,83.9,1.8,4.6,36.9,3.4,7.6,1.9,2.2,0.0,0.0,3.0,24.2
T163,Grayson Allen,PHO,G,12,21.9,10.3,2.4,1.0,0.6,0.3,2.3,37.6,76.9,1.3,6.7,35.0,3.2,8.4,1.7,2.2,0.0,0.0,1.3,16.2
T163,De'Anthony Melton,GSW,G,6,20.2,10.3,3.3,2.8,1.2,0.3,2.2,40.7,62.5,1.7,5.8,37.1,3.7,9.0,0.8,1.3,0.2,0.0,3.0,21.4
T165,Al Horford,BOS,C,13,27.4,10.2,5.5,2.2,0.9,0.8,2.4,51.6,100.0,1.0,5.0,47.7,3.7,7.2,0.5,0.5,0.1,0.0,1.4,24.5
T165,Duncan Robinson,MIA,F,12,20.3,10.2,2.2,1.8,0.6,0.3,2.5,38.4,85.7,0.8,6.8,36.6,3.6,9.3,0.5,0.6,0.0,0.0,1.9,17.3
T167,Jaden McDaniels,MIN,F,14,29.6,10.1,3.5,1.7,1.4,1.0,1.1,46.7,60.0,1.2,3.6,31.4,4.1,8.7,0.9,1.4,0.0,0.0,3.6,22.8
T167,Amir Coffey,LAC,F,16,24.3,10.1,2.6,1.1,0.6,0.1,1.6,49.1,85.3,0.7,3.5,46.4,3.3,6.8,1.8,2.1,0.0,0.0,1.6,16.0
T167,Josh Okogie,PHO,F,8,19.3,10.1,4.4,0.8,1.1,0.1,1.1,54.5,66.7,1.1,2.3,50.0,3.8,6.9,1.5,2.3,0.0,0.0,1.3,19.1
T170,Harrison Barnes,SAS,F,15,28.5,9.9,4.1,1.5,0.3,0.2,1.3,48.1,78.9,0.8,3.3,38.8,3.3,6.9,2.0,2.5,0.0,0.0,0.7,18.0
T170,Patrick Williams,CHI,F,15,28.7,9.9,5.0,2.3,1.0,0.5,1.9,37.6,84.0,1.9,4.7,39.4,3.3,8.9,1.4,1.7,0.1,0.0,1.4,22.1
T170,Derrick Jones,LAC,F,16,25.9,9.9,3.6,0.9,1.3,0.3,1.5,48.4,82.4,1.1,3.3,45.3,3.8,7.8,0.9,1.1,0.0,0.0,2.3,19.2
T170,Deni Avdija,POR,F,15,24.7,9.9,5.7,2.9,1.1,0.8,0.9,36.0,78.9,1.9,3.3,26.0,3.0,8.3,3.0,3.8,0.1,0.0,1.7,24.9
T170,Stephon Castle,SAS,G,15,25.2,9.9,2.6,3.5,0.8,0.4,1.0,38.2,69.0,1.7,3.6,27.8,3.5,9.1,1.9,2.8,0.0,0.0,1.7,20.1
T175,Alex Sarr,WAS,F,13,25.7,9.8,5.5,2.3,0.8,2.1,0.9,35.1,70.0,1.2,4.5,20.3,3.6,10.3,1.6,2.3,0.1,0.0,2.9,27.2
T175,T.J. McConnell,IND,G,14,18.3,9.8,2.4,4.2,1.3,0.1,0.1,55.1,66.7,1.6,0.4,20.0,4.6,8.4,0.4,0.6,0.0,0.0,0.9,21.7
177,P.J. Washington,DAL,F,10,29.8,9.7,8.1,1.5,1.4,1.2,1.0,41.1,72.2,1.0,3.8,26.3,3.7,9.0,1.3,1.8,0.2,0.0,2.2,28.5
T178,Obi Toppin,IND,F,14,20.6,9.6,3.0,1.6,0.5,0.4,1.0,54.5,86.7,0.8,3.3,30.4,3.9,7.1,0.9,1.1,0.0,0.0,1.3,17.5
T178,Royce O'Neale,PHO,F,16,25.4,9.6,6.1,2.3,0.8,0.9,2.1,40.6,70.6,0.9,5.1,40.2,3.4,8.3,0.8,1.1,0.0,0.0,2.4,24.3
T178,Aaron Wiggins,OKC,F,16,21.3,9.6,3.8,1.8,0.8,0.3,1.6,44.7,81.8,0.8,3.8,42.6,3.7,8.3,0.6,0.7,0.0,0.0,1.5,19.3
T181,Julian Strawther,DEN,F,13,21.2,9.5,2.5,1.4,1.0,0.5,1.5,43.4,75.0,1.0,3.9,37.3,3.3,7.6,1.4,1.8,0.0,0.0,2.7,17.9
T181,Peyton Watson,DEN,F,13,24.3,9.5,3.5,1.1,0.9,0.9,1.0,44.0,76.7,0.8,2.7,37.1,3.4,7.7,1.8,2.3,0.0,0.0,2.2,20.2
T181,Garrison Mathews,ATL,G,15,20.5,9.5,1.2,1.7,0.8,0.2,2.4,45.7,88.5,0.5,5.1,46.8,2.8,6.1,1.5,1.7,0.0,0.0,1.9,16.1
184,Donte DiVincenzo,MIN,G,14,25.6,9.4,3.2,3.3,1.3,0.3,2.3,34.6,78.6,1.6,7.1,32.3,3.1,9.1,0.8,1.0,0.0,0.0,1.9,21.3
185,Guerschon Yabusele,PHI,F,14,21.1,9.3,4.8,1.8,0.7,0.4,1.6,50.0,61.1,1.2,3.9,41.8,3.4,6.9,0.8,1.3,0.0,0.0,2.8,19.9
T186,Aaron Nesmith,IND,F,6,22.7,9.2,4.0,1.0,0.7,0.3,1.0,52.8,84.6,0.8,1.8,54.5,3.2,6.0,1.8,2.2,0.0,0.0,4.0,17.6
T186,Walker Kessler,UTA,C,9,26.6,9.2,10.7,1.0,0.4,2.8,0.0,68.6,56.5,1.7,0.0,0.0,3.9,5.7,1.4,2.6,0.4,0.0,2.2,31.5
T186,Ziaire Williams,BKN,F,15,21.5,9.2,4.5,1.1,0.9,0.5,0.9,43.6,81.5,0.9,3.3,28.0,3.4,7.8,1.5,1.8,0.0,0.0,2.9,19.6
T186,Jalen Wilson,BKN,F,15,22.4,9.2,3.3,1.8,0.3,0.0,1.3,45.2,86.2,1.0,3.7,34.5,3.1,6.9,1.7,1.9,0.0,0.0,2.1,15.8
T190,Jay Huff,MEM,C,16,14.4,9.1,2.3,0.8,0.3,1.6,1.6,54.7,84.2,0.6,3.8,42.6,3.3,5.9,1.0,1.2,0.0,0.0,1.2,18.0
