,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
T241,Kentavious Caldwell-Pope,ORL,G,16,29.9,6.9,2.3,1.9,1.3,0.5,1.0,33.9,100.0,0.7,4.4,22.9,2.3,6.8,1.3,1.3,0.0,0.0,2.1,17.4
T241,Tristan da Silva,ORL,F,12,24.6,6.9,3.8,2.0,0.3,0.3,1.0,38.8,81.8,0.4,3.3,30.0,2.6,6.7,0.8,0.9,0.0,0.0,1.6,15.9
T244,Sam Merrill,CLE,G,13,19.6,6.8,1.6,1.5,0.6,0.2,1.8,41.4,100.0,0.5,4.8,38.1,2.2,5.4,0.5,0.5,0.0,0.0,1.9,12.9
T244,Herbert Jones,NOP,F,4,28.3,6.8,2.5,1.0,1.8,0.3,0.5,48.0,50.0,1.3,2.8,18.2,3.0,6.3,0.3,0.5,0.0,0.0,2.3,16.0
246,Bogdan Bogdanovic,ATL,G,3,23.0,6.7,4.0,2.0,0.0,0.7,1.7,22.2,100.0,2.3,6.3,26.3,2.0,9.0,1.0,1.0,0.0,0.0,2.3,14.1
247,Jonathan Isaac,ORL,F,13,16.6,6.6,4.5,0.3,0.8,1.2,0.8,49.2,61.1,0.5,2.6,32.4,2.5,5.0,0.8,1.4,0.0,0.0,1.3,18.1
T248,Neemias Queta,BOS,C,14,18.8,6.4,5.4,0.7,0.1,0.8,0.0,63.5,71.4,0.8,0.1,0.0,2.9,4.5,0.7,1.0,0.0,0.0,1.9,15.9
T248,Cason Wallace,OKC,G,16,25.8,6.4,3.3,1.9,1.7,0.5,0.8,40.2,100.0,0.4,3.0,27.1,2.7,6.7,0.2,0.2,0.0,0.0,2.2,19.3
T248,Isaiah Stewart,DET,F,16,22.0,6.4,6.9,1.9,0.5,1.3,0.2,57.1,86.4,1.1,0.6,30.0,2.5,4.4,1.2,1.4,0.1,0.0,3.1,21.7
T251,Antonio Reeves,NOP,G,9,10.2,6.3,1.1,0.4,0.3,0.0,0.9,46.9,100.0,0.3,2.8,32.0,2.6,5.4,0.3,0.3,0.0,0.0,0.3,9.0
T251,Simone Fontecchio,DET,F,14,19.0,6.3,3.3,0.9,0.2,0.1,1.2,37.5,81.0,0.7,3.6,34.0,1.9,5.1,1.2,1.5,0.0,0.0,1.3,11.9
T251,Jaxson Hayes,LAL,C,10,17.4,6.3,4.6,0.9,0.3,0.9,0.0,70.6,78.9,0.6,0.0,0.0,2.4,3.4,1.5,1.9,0.0,0.0,2.7,16.2
T251,Mo Bamba,LAC,C,3,12.3,6.3,4.7,0.7,1.0,0.0,0.3,53.3,66.7,0.7,1.3,25.0,2.7,5.0,0.7,1.0,0.0,0.0,2.3,15.3
T251,David Roddy,ATL,F,12,16.5,6.3,3.3,1.6,0.5,0.2,0.8,57.4,84.6,1.1,1.9,43.5,2.3,3.9,0.9,1.1,0.0,0.0,0.9,13.4
T251,Alec Burks,MIA,G,6,18.5,6.3,2.3,2.0,0.5,0.2,1.7,46.4,100.0,0.2,3.3,50.0,2.2,4.7,0.3,0.3,0.0,0.0,0.3,14.0
T251,Javonte Green,NOP,F,16,23.9,6.3,3.4,0.8,1.1,0.6,0.8,40.2,88.0,0.4,2.2,34.3,2.1,5.1,1.4,1.6,0.0,0.0,1.1,15.9
T258,Trey Lyles,SAC,F,15,20.7,6.2,4.1,1.0,0.5,0.6,1.4,36.5,83.3,0.5,4.1,34.4,2.1,5.7,0.7,0.8,0.1,0.0,1.5,15.4
T258,Kyle Lowry,PHI,G,13,24.2,6.2,2.2,3.4,1.2,0.4,1.3,38.1,78.9,0.8,3.7,35.4,1.8,4.8,1.2,1.5,0.0,0.0,1.8,17.9
T258,Josh Green,CHA,F,12,24.4,6.2,2.3,1.5,0.7,0.3,1.3,45.6,66.7,0.8,2.6,51.6,2.2,4.8,0.5,0.8,0.0,0.0,2.8,13.3
T261,Moses Brown,IND,C,1,7.0,6.0,4.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,10.8
T261,James Wiseman,IND,C,1,5.0,6.0,1.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,1.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,7.2
T261,Donovan Clingan,POR,C,15,16.6,6.0,5.9,0.2,0.5,2.1,0.1,55.4,72.7,0.9,0.4,33.3,2.4,4.3,1.1,1.5,0.1,0.0,2.8,20.4
T264,Cam Whitmore,HOU,F,8,10.0,5.9,1.4,0.5,0.1,0.1,0.1,37.5,62.5,0.4,2.6,4.8,2.3,6.0,1.3,2.0,0.0,0.0,1.1,8.7
T264,Isaac Okoro,CLE,F,15,20.1,5.9,2.1,1.5,0.8,0.3,1.1,49.2,61.5,0.3,2.4,44.4,2.1,4.3,0.5,0.9,0.0,0.0,2.0,13.8
T266,Lindy Waters,GSW,F,12,15.5,5.8,2.1,1.3,0.6,0.2,1.3,47.3,100.0,0.1,3.0,41.7,2.2,4.6,0.2,0.2,0.0,0.0,1.3,12.4
T266,Brandon Clarke,MEM,C,15,16.1,5.8,3.7,0.6,0.9,0.1,0.1,50.0,76.9,0.3,1.1,6.3,2.5,5.1,0.7,0.9,0.0,0.0,1.7,13.6
T266,Ben Sheppard,IND,G,13,21.0,5.8,2.2,1.3,0.4,0.3,1.5,42.4,0.0,0.4,3.6,40.4,2.2,5.1,0.0,0.0,0.0,0.0,2.5,12.1
T269,Ben Simmons,BKN,G,11,24.5,5.7,6.0,6.8,0.9,0.5,0.0,57.7,75.0,2.9,0.0,0.0,2.7,4.7,0.3,0.4,0.0,0.0,3.1,24.6
T269,Jarace Walker,IND,F,15,16.3,5.7,3.5,1.4,1.3,0.4,1.0,41.7,68.8,1.7,2.5,39.5,2.0,4.8,0.7,1.1,0.0,0.0,1.5,15.3
T271,Jordan Miller,LAC,G,5,9.0,5.6,1.6,0.6,0.4,0.0,0.2,36.8,86.7,0.6,1.0,20.0,1.4,3.8,2.6,3.0,0.0,0.0,0.6,9.0
T271,Jaden Hardy,DAL,G,14,14.2,5.6,1.4,1.4,0.5,0.1,0.6,40.3,100.0,1.2,2.5,25.7,2.1,5.1,0.8,0.8,0.0,0.0,1.4,9.8
T271,Ron Holland,DET,F,16,15.4,5.6,3.1,0.5,0.6,0.1,0.3,40.7,84.2,0.6,2.2,11.4,2.2,5.4,1.0,1.2,0.0,0.0,1.4,11.8
T271,Quentin Grimes,DAL,G,14,17.1,5.6,3.1,1.2,0.4,0.1,1.0,45.0,76.9,0.6,2.5,40.0,1.9,4.3,0.7,0.9,0.0,0.0,1.8,12.3
T271,Jamison Battle,TOR,F,14,13.9,5.6,2.2,0.9,0.0,0.1,1.4,43.5,75.0,0.3,3.3,41.3,1.9,4.4,0.4,0.6,0.0,0.0,1.4,9.7
T276,Terance Mann,LAC,G,16,21.1,5.5,3.7,1.8,0.6,0.3,0.6,39.1,73.3,0.6,2.1,27.3,2.1,5.4,0.7,0.9,0.0,0.0,2.2,14.6
T276,Kobe Bufkin,ATL,G,2,15.0,5.5,2.0,0.5,0.0,1.0,1.0,25.0,60.0,1.0,4.5,22.2,1.5,6.0,1.5,2.5,0.0,0.0,1.5,10.7
T276,Dean Wade,CLE,F,13,22.0,5.5,4.2,1.5,1.0,0.4,1.4,39.3,41.7,0.3,3.9,35.3,1.8,4.7,0.4,0.9,0.0,0.0,1.7,16.6
T276,Kevon Looney,GSW,C,12,15.6,5.5,8.1,1.7,0.8,0.3,0.0,47.3,53.8,0.7,0.0,0.0,2.2,4.6,1.2,2.2,0.1,0.0,2.7,20.5
T280,Johnny Juzang,UTA,G,10,14.6,5.4,1.6,0.7,0.5,0.2,1.0,39.5,100.0,0.5,3.0,33.3,1.7,4.3,1.0,1.0,0.0,0.0,2.0,10.0
T280,Ajay Mitchell,OKC,G,16,16.3,5.4,1.8,1.9,0.9,0.1,0.6,50.0,77.8,0.9,1.2,47.4,2.2,4.4,0.4,0.6,0.0,0.0,1.7,12.4
T280,Monte Morris,PHO,G,12,11.7,5.4,1.1,1.3,0.4,0.3,0.8,45.8,85.7,0.4,1.9,39.1,1.8,4.0,1.0,1.2,0.0,0.0,0.3,10.2
T283,Eric Gordon,PHI,G,12,17.5,5.3,1.0,1.3,0.3,0.3,0.8,35.7,77.8,1.1,2.6,29.0,1.7,4.7,1.2,1.5,0.0,0.0,0.8,8.7
T283,Vince Williams,MEM,F,3,15.0,5.3,3.7,3.0,0.0,0.7,0.3,36.8,25.0,2.3,2.7,12.5,2.3,6.3,0.3,1.3,0.0,0.0,3.0,13.9
285,Kyle Anderson,GSW,F,13,16.4,5.2,3.4,2.8,1.2,0.7,0.6,34.7,71.4,0.4,2.3,26.7,1.9,5.5,0.8,1.1,0.0,0.0,1.2,18.6
286,Brice Sensabaugh,UTA,F,9,12.6,5.1,1.9,0.4,0.3,0.0,0.9,44.1,88.9,1.2,2.4,36.4,1.7,3.8,0.9,1.0,0.0,0.0,0.3,7.8
T287,Torrey Craig,CHI,F,4,11.3,5.0,2.5,0.8,0.3,0.3,1.0,43.8,100.0,0.0,3.3,30.8,1.8,4.0,0.5,0.5,0.0,0.0,1.0,10.6
T287,Alex Caruso,OKC,G,13,19.8,5.0,2.9,2.2,1.8,0.7,0.6,35.6,71.4,0.7,3.0,20.5,2.0,5.6,0.4,0.5,0.0,0.0,2.6,18.7
T289,Pat Connaughton,MIL,G,13,17.6,4.9,2.8,1.8,0.2,0.2,0.9,35.5,80.0,0.8,3.1,30.0,1.7,4.8,0.6,0.8,0.0,0.0,1.2,11.5
T289,Mason Plumlee,PHO,C,15,17.4,4.9,5.9,1.8,0.3,0.4,0.0,58.0,53.3,0.9,0.0,0.0,1.9,3.3,1.1,2.0,0.1,0.0,2.1,15.9
T289,Jamal Shead,TOR,G,15,15.6,4.9,0.9,3.3,0.3,0.1,0.3,37.5,75.0,1.6,1.7,19.2,2.0,5.3,0.6,0.8,0.0,0.0,1.9,10.8
T289,Pelle Larsson,MIA,F,8,13.0,4.9,1.0,1.4,0.5,0.0,0.6,53.8,60.0,0.5,1.5,41.7,1.8,3.3,0.8,1.3,0.0,0.0,1.5,9.1
T293,Jared Butler,WAS,G,10,8.3,4.8,0.7,2.4,0.6,0.2,0.1,50.0,68.4,0.3,0.5,20.0,1.7,3.4,1.3,1.9,0.0,0.0,0.8,11.3
T293,Seth Curry,CHA,G,13,14.8,4.8,1.8,0.5,0.5,0.1,1.0,41.1,60.0,0.3,2.5,40.6,1.8,4.3,0.2,0.4,0.0,0.0,1.4,9.0
T295,Drew Eubanks,UTA,C,11,14.1,4.7,4.1,1.1,0.3,0.5,0.1,63.6,60.0,0.7,0.3,33.3,1.9,3.0,0.8,1.4,0.0,0.0,1.1,13.0
T295,Lonzo Ball,CHI,G,3,16.0,4.7,2.7,3.7,0.0,0.3,1.3,35.7,0.0,1.0,4.0,33.3,1.7,4.7,0.0,0.0,0.0,0.0,1.3,13.4
T295,Keaton Wallace,ATL,G,12,16.3,4.7,1.5,1.8,0.8,0.5,0.7,40.0,100.0,1.0,2.2,30.8,1.8,4.6,0.3,0.3,0.0,0.0,1.1,12.2
T295,Jamal Cain,NOP,F,12,15.3,4.7,3.0,0.8,0.4,0.4,0.8,43.2,64.3,0.6,2.0,37.5,1.6,3.7,0.8,1.2,0.0,0.0,1.5,11.3
T295,Taylor Hendricks,UTA,F,3,25.0,4.7,5.0,0.7,1.7,1.3,1.0,22.2,75.0,0.7,4.0,25.0,1.3,6.0,1.0,1.3,0.0,0.0,2.7,20.0
T295,Sandro Mamukelashvili,SAS,C,12,8.8,4.7,2.7,0.3,0.1,0.4,0.9,55.9,100.0,0.8,1.9,47.8,1.6,2.8,0.6,0.6,0.0,0.0,0.7,9.1
T301,Cam Reddish,LAL,F,8,21.6,4.6,2.9,0.6,1.1,0.5,0.6,61.9,60.0,0.4,1.1,55.6,1.6,2.6,0.8,1.3,0.0,0.0,1.6,13.5
T301,Jonathan Mogbo,TOR,F,15,15.5,4.6,4.1,1.5,0.9,0.5,0.1,47.1,69.0,0.8,0.5,14.3,1.6,3.4,1.3,1.9,0.0,0.0,2.0,15.0
T303,Oso Ighodaro,PHO,C,11,15.9,4.5,4.0,0.6,0.4,0.4,0.0,65.6,80.0,0.7,0.0,0.0,1.9,2.9,0.7,0.9,0.0,0.0,1.9,11.8
T303,Jock Landale,HOU,C,11,11.4,4.5,3.5,1.1,0.2,0.4,0.3,45.2,60.0,0.5,0.5,60.0,1.7,3.8,0.8,1.4,0.0,0.0,1.2,11.5
T303,Gary Payton,GSW,G,14,11.4,4.5,1.9,1.1,0.6,0.3,0.1,63.6,62.5,0.6,0.8,18.2,2.0,3.1,0.4,0.6,0.0,0.0,1.3,10.6
T306,Talen Horton-Tucker,CHI,G,11,8.7,4.4,2.0,1.3,0.0,0.1,0.5,43.2,68.8,0.3,1.3,35.7,1.5,3.4,1.0,1.5,0.0,0.0,0.6,8.7
T306,Keon Johnson,BKN,G,14,12.8,4.4,2.9,1.0,0.3,0.3,0.9,34.9,85.7,0.8,2.9,30.0,1.6,4.5,0.4,0.5,0.0,0.0,1.5,10.3
T306,Dalen Terry,CHI,F,16,13.1,4.4,1.8,0.9,0.6,0.4,0.4,49.0,71.4,0.9,1.0,37.5,1.6,3.2,0.9,1.3,0.0,0.0,1.4,10.1
T306,Julian Phillips,CHI,F,16,13.9,4.4,2.1,0.4,0.8,0.1,0.8,41.7,56.3,0.5,2.3,32.4,1.6,3.8,0.6,1.0,0.0,0.0,1.4,9.9
T310,Bones Hyland,LAC,G,4,5.0,4.3,0.8,0.0,0.5,0.5,0.8,35.7,100.0,0.3,1.8,42.9,1.3,3.5,1.0,1.0,0.0,0.0,0.5,7.9
T310,Kenrich Williams,OKC,F,6,12.0,4.3,2.3,0.7,0.5,0.7,0.3,50.0,100.0,0.3,1.8,18.2,1.8,3.7,0.3,0.3,0.0,0.0,1.8,11.3
T310,Vit Krejci,ATL,G,6,13.5,4.3,1.2,1.5,0.7,0.3,0.7,45.0,57.1,0.8,1.8,36.4,1.5,3.3,0.7,1.2,0.0,0.0,2.0,10.2
T310,Luke Kornet,BOS,C,13,16.8,4.3,3.9,1.7,0.5,0.7,0.0,62.5,94.1,0.4,0.0,0.0,1.5,2.5,1.2,1.3,0.0,0.0,1.5,14.9
T310,KJ Martin,PHI,F,11,14.6,4.3,2.1,0.5,0.3,0.6,0.2,64.3,75.0,0.1,0.4,50.0,1.6,2.5,0.8,1.1,0.0,0.0,2.2,10.2
T310,Kris Murray,POR,F,14,12.8,4.3,2.4,0.7,0.6,0.1,0.6,46.0,35.3,0.6,1.6,36.4,1.6,3.6,0.4,1.2,0.0,0.0,0.9,10.1
T316,Jett Howard,ORL,F,15,8.8,4.2,1.0,0.3,0.1,0.4,1.1,40.0,100.0,0.3,3.0,37.8,1.5,3.7,0.1,0.1,0.0,0.0,0.9,6.9
T316,Blake Wesley,SAS,G,13,11.7,4.2,0.6,1.7,0.4,0.1,0.2,44.0,81.8,1.1,1.0,15.4,1.7,3.8,0.7,0.8,0.0,0.0,0.7,7.8
T318,Thomas Bryant,MIA,C,7,12.7,4.1,3.6,0.6,0.1,0.7,0.6,47.6,100.0,0.1,1.6,36.4,1.4,3.0,0.7,0.7,0.0,0.0,1.0,11.7
T318,Paul Reed,DET,C,7,9.4,4.1,1.6,0.4,0.6,0.6,0.1,60.0,80.0,0.9,0.3,50.0,1.7,2.9,0.6,0.7,0.0,0.0,2.1,9.2
T318,Marcus Sasser,DET,G,8,10.8,4.1,0.9,0.8,0.4,0.3,0.4,51.9,100.0,0.4,1.4,27.3,1.8,3.4,0.3,0.3,0.0,0.0,0.4,7.8
T318,Spencer Dinwiddie,DAL,G,13,16.8,4.1,1.2,1.6,0.4,0.2,0.8,34.0,75.0,0.5,2.5,31.3,1.3,3.8,0.7,0.9,0.0,0.0,1.2,9.2
T322,Reggie Jackson,PHI,G,6,12.2,4.0,1.2,2.0,0.7,0.0,1.0,37.5,0.0,0.7,2.5,40.0,1.5,4.0,0.0,0.0,0.0,0.0,1.2,9.7
T322,Malcolm Brogdon,WAS,G,2,20.5,4.0,1.5,0.5,0.0,0.0,0.0,33.3,66.7,1.0,1.5,0.0,1.5,4.5,1.0,1.5,0.0,0.0,0.5,5.6
T322,Isaiah Collier,UTA,G,7,18.1,4.0,2.1,2.9,1.3,0.3,0.1,46.2,50.0,2.1,1.7,8.3,1.7,3.7,0.4,0.9,0.0,0.0,1.3,13.4
T322,Vasilije Micic,CHA,G,5,14.8,4.0,2.8,1.2,0.4,0.0,0.8,25.9,50.0,1.2,2.4,33.3,1.4,5.4,0.4,0.8,0.0,0.0,1.0,9.2
T322,DeAndre Jordan,DEN,C,4,10.5,4.0,4.3,0.5,0.3,0.3,0.0,53.3,0.0,1.3,0.0,0.0,2.0,3.8,0.0,0.5,0.0,0.0,1.3,10.1
T322,Josh Richardson,MIA,G,8,18.6,4.0,1.5,1.5,1.0,0.1,0.8,28.9,100.0,1.0,2.8,27.3,1.4,4.8,0.5,0.5,0.0,0.0,2.1,10.4
T322,Dario Saric,DEN,C,8,16.0,4.0,3.9,1.3,0.8,0.0,0.6,32.4,75.0,1.1,2.1,29.4,1.5,4.6,0.4,0.5,0.1,0.0,1.6,11.7
T322,Max Christie,LAL,G,13,15.8,4.0,1.8,0.9,0.8,0.5,0.5,34.0,87.5,0.6,1.8,26.1,1.2,3.6,1.1,1.2,0.0,0.0,1.3,10.9
T322,Aaron Holiday,HOU,G,9,9.0,4.0,1.0,1.3,0.1,0.1,0.8,50.0,71.4,0.3,1.8,43.8,1.3,2.7,0.6,0.8,0.0,0.0,0.6,7.5
T331,Cole Anthony,ORL,G,14,9.5,3.9,2.0,1.7,0.6,0.1,0.4,34.7,63.6,1.1,1.6,26.1,1.2,3.5,1.0,1.6,0.0,0.0,1.1,9.6
T331,Reed Sheppard,HOU,G,16,12.2,3.9,1.3,1.6,0.4,0.3,0.8,40.3,0.0,0.7,2.0,37.5,1.6,3.9,0.0,0.0,0.0,0.0,0.9,9.2
T333,Moussa Diabate,CHA,C,14,16.1,3.8,7.3,0.5,0.4,0.9,0.0,64.1,37.5,0.8,0.0,0.0,1.8,2.8,0.2,0.6,0.1,0.0,1.2,16.4
T333,Damion Lee,PHO,G,4,9.5,3.8,1.3,1.3,0.5,0.0,0.3,28.6,100.0,0.8,2.3,11.1,1.0,3.5,1.5,1.5,0.0,0.0,0.3,7.9
T333,Bol Bol,PHO,F,4,5.3,3.8,1.3,0.3,0.0,0.0,0.3,55.6,66.7,0.3,1.0,25.0,1.3,2.3,1.0,1.5,0.0,0.0,0.3,5.4
T333,Wendell Moore,DET,G,6,14.0,3.8,2.7,0.8,0.7,0.2,0.2,58.8,66.7,0.5,0.7,25.0,1.7,2.8,0.3,0.5,0.0,0.0,0.8,10.3
T333,Rayan Rupert,POR,G,13,10.8,3.8,1.8,0.2,0.5,0.1,0.5,48.7,66.7,0.5,1.4,38.9,1.5,3.0,0.3,0.5,0.0,0.0,0.8,7.3
T333,Taj Gibson,CHA,C,6,12.5,3.8,4.2,0.2,0.2,0.5,0.2,55.6,66.7,0.8,0.3,50.0,1.7,3.0,0.3,0.5,0.0,0.0,2.2,10.3
T333,Doug McDermott,SAC,F,11,11.3,3.8,0.9,0.3,0.2,0.1,1.0,34.1,60.0,0.1,3.1,32.4,1.3,3.7,0.3,0.5,0.0,0.0,1.1,6.0
340,Nicolas Batum,LAC,F,16,16.8,3.7,2.6,1.4,0.4,0.6,0.8,37.7,75.0,0.5,2.4,33.3,1.3,3.3,0.4,0.5,0.0,0.0,1.3,11.4
T341,Daniel Theis,NOP,C,11,14.4,3.6,3.5,1.4,0.3,0.6,0.2,44.4,75.0,0.7,0.9,20.0,1.5,3.3,0.5,0.7,0.0,0.0,1.3,11.9
T341,Tyler Kolek,NYK,G,10,8.2,3.6,0.8,0.7,0.4,0.0,0.8,50.0,100.0,0.7,1.5,53.3,1.2,2.4,0.4,0.4,0.0,0.0,0.7,6.1
T341,Patty Mills,UTA,G,9,15.2,3.6,0.9,1.4,0.7,0.2,0.8,35.5,100.0,0.9,2.7,29.2,1.2,3.4,0.3,0.3,0.0,0.0,0.9,8.6
T344,Cody Williams,UTA,F,14,19.6,3.5,2.4,1.4,0.5,0.3,0.5,29.0,60.0,0.7,2.4,20.6,1.3,4.4,0.4,0.7,0.0,0.0,1.2,10.0
T344,Orlando Robinson,SAC,C,2,9.5,3.5,3.0,0.5,0.5,0.0,0.5,100.0,50.0,1.5,0.5,100.0,1.0,1.0,1.0,2.0,0.0,0.0,1.5,7.9
T344,Bruno Fernando,TOR,C,11,9.0,3.5,3.4,1.1,0.1,0.6,0.0,48.6,83.3,0.9,0.0,0.0,1.5,3.2,0.5,0.5,0.0,0.0,1.6,10.5
T344,Ousmane Dieng,OKC,F,16,11.6,3.5,2.6,0.8,0.7,0.3,0.6,33.9,63.6,0.3,2.3,25.0,1.3,3.7,0.4,0.7,0.0,0.0,1.1,10.4
T348,Tidjane Salaun,CHA,F,12,16.3,3.4,3.8,1.1,0.3,0.3,0.7,26.5,63.6,0.8,2.8,24.2,1.1,4.1,0.6,0.9,0.0,0.0,0.9,10.6
T348,Gary Harris,ORL,G,14,16.4,3.4,1.4,0.4,0.4,0.4,0.9,34.7,66.7,0.4,2.6,32.4,1.2,3.5,0.1,0.2,0.0,0.0,0.6,7.8
T348,Andre Jackson,MIL,F,14,17.3,3.4,2.4,1.4,0.7,0.3,0.6,42.5,50.0,1.4,1.6,39.1,1.2,2.9,0.3,0.6,0.0,0.0,2.6,9.9
T351,Jaylon Tyson,CLE,F,7,9.0,3.3,2.1,1.3,0.3,0.0,0.4,50.0,50.0,0.7,1.1,37.5,1.3,2.6,0.3,0.6,0.1,0.0,1.4,7.9
T351,Craig Porter,CLE,G,12,10.7,3.3,1.2,1.7,0.3,0.5,0.4,57.1,75.0,0.6,0.8,50.0,1.3,2.3,0.3,0.3,0.0,0.0,0.6,9.2
T353,Marvin Bagley,WAS,C,9,6.1,3.2,2.2,0.2,0.1,0.1,0.0,48.0,71.4,0.8,0.4,0.0,1.3,2.8,0.6,0.8,0.0,0.0,0.1,6.1
T353,Ryan Rollins,MIL,G,9,7.6,3.2,1.2,1.0,0.8,0.4,0.7,43.5,75.0,0.8,1.2,54.5,1.1,2.6,0.3,0.4,0.0,0.0,0.9,9.1
T353,Jordan McLaughlin,SAC,G,12,9.8,3.2,1.1,1.3,0.5,0.0,0.5,42.9,80.0,0.4,1.3,40.0,1.0,2.3,0.7,0.8,0.0,0.0,0.7,7.4
T356,Chris Duarte,CHI,F,7,4.4,3.0,0.6,0.3,0.0,0.0,0.4,60.0,75.0,0.0,1.0,42.9,0.9,1.4,0.9,1.1,0.0,0.0,0.1,4.1
T356,Collin Gillespie,PHO,G,1,3.0,3.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
T356,Svi Mykhailiuk,UTA,G,2,7.5,3.0,0.5,1.0,0.5,0.0,1.0,33.3,0.0,1.0,2.5,40.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,5.6
T356,Tre Jones,SAS,G,3,17.3,3.0,1.7,2.7,0.3,0.0,0.7,20.0,75.0,1.0,1.7,40.0,0.7,3.3,1.0,1.3,0.0,0.0,1.7,9.0
T356,David Duke,SAS,G,1,8.0,3.0,0.0,2.0,0.0,0.0,0.0,25.0,50.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,6.0
T356,Richaun Holmes,WAS,C,2,4.0,3.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.5,0.0,1.5,3.0,0.0,0.0,0.0,0.0,0.5,4.2
T362,Gabe Vincent,LAL,G,14,18.3,2.9,1.1,0.6,0.7,0.0,0.5,28.1,50.0,0.5,2.6,19.4,1.1,4.1,0.1,0.3,0.0,0.0,1.6,6.7
T362,Matas Buzelis,CHI,F,15,8.3,2.9,1.9,0.2,0.4,0.5,0.5,31.0,75.0,0.6,1.5,34.8,0.9,2.8,0.6,0.8,0.0,0.0,0.9,7.5
T362,Tristan Thompson,CLE,C,7,7.3,2.9,2.0,0.4,0.0,0.3,0.0,66.7,0.0,0.4,0.0,0.0,1.4,2.1,0.0,0.9,0.0,0.0,0.9,6.3
T365,Dru Smith,MIA,G,5,10.4,2.8,2.6,1.0,0.6,0.8,0.4,46.2,0.0,0.6,1.0,40.0,1.2,2.6,0.0,0.0,0.0,0.0,0.8,11.0
T365,Delon Wright,MIL,G,12,17.5,2.8,1.6,2.0,0.9,0.4,0.5,32.4,50.0,0.4,2.0,25.0,1.0,3.1,0.3,0.5,0.0,0.0,0.8,11.2
T365,Jabari Walker,POR,F,11,8.4,2.8,2.5,0.3,0.2,0.1,0.2,40.7,87.5,0.5,0.8,22.2,1.0,2.5,0.6,0.7,0.0,0.0,1.1,6.6
T365,Trey Jemison,NOP,C,10,11.3,2.8,2.9,0.7,0.5,0.5,0.0,47.8,60.0,0.8,0.0,0.0,1.1,2.3,0.6,1.0,0.0,0.0,1.8,9.5
T369,TyTy Washington,PHO,G,3,9.0,2.7,0.3,1.3,0.7,0.0,0.7,50.0,0.0,0.3,1.0,66.7,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.7
T369,Christian Koloko,LAL,C,6,10.3,2.7,2.2,0.3,0.3,0.3,0.0,72.7,0.0,0.5,0.2,0.0,1.3,1.8,0.0,0.0,0.0,0.0,1.2,7.3
T369,Steven Adams,HOU,C,7,11.6,2.7,2.9,1.1,0.4,0.0,0.0,61.5,37.5,1.6,0.0,0.0,1.1,1.9,0.4,1.1,0.0,0.0,1.4,7.6
372,Shake Milton,BKN,G,12,10.3,2.6,0.8,1.4,0.2,0.0,0.6,42.3,66.7,0.2,1.5,38.9,0.9,2.2,0.2,0.3,0.0,0.0,0.8,6.0
T373,Johnny Davis,WAS,G,11,7.5,2.5,1.3,0.2,0.3,0.1,0.2,46.2,50.0,0.1,0.4,50.0,1.1,2.4,0.1,0.2,0.0,0.0,0.8,5.3
T373,Charles Bassey,SAS,C,8,7.4,2.5,2.6,0.4,0.5,0.8,0.0,61.5,66.7,0.5,0.0,0.0,1.0,1.6,0.5,0.8,0.0,0.0,0.1,9.5
T373,Tyler Smith,MIL,F,8,3.5,2.5,0.8,0.0,0.0,0.3,0.4,66.7,50.0,0.3,0.9,42.9,1.0,1.5,0.1,0.3,0.0,0.0,0.5,3.9
T373,Ja'Kobe Walter,TOR,G,4,12.3,2.5,2.8,0.8,0.0,0.3,0.3,18.8,60.0,0.0,1.5,16.7,0.8,4.0,0.8,1.3,0.0,0.0,2.0,7.7
T377,Pacome Dadiet,NYK,F,8,8.6,2.4,1.5,0.5,0.1,0.3,0.6,35.3,100.0,0.1,1.4,45.5,0.8,2.1,0.3,0.3,0.0,0.0,0.6,5.9
T377,John Konchar,MEM,G,8,15.1,2.4,3.5,1.0,0.6,0.6,0.5,37.5,75.0,0.5,1.8,28.6,0.8,2.0,0.4,0.5,0.0,0.0,0.9,11.3
T377,Jae'Sean Tate,HOU,F,7,4.1,2.4,2.0,0.6,0.1,0.0,0.0,58.3,60.0,0.4,0.1,0.0,1.0,1.7,0.4,0.7,0.0,0.0,0.7,5.7
T377,Ricky Council,PHI,F,11,8.0,2.4,0.9,0.7,0.1,0.0,0.2,33.3,100.0,0.3,0.9,20.0,0.8,2.5,0.5,0.5,0.0,0.0,0.4,4.5
