,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
T31,Dejounte Murray,NOP,G,79,35.8,22.6,5.4,6.4,1.4,0.3,2.6,46.0,79.5,2.6,7.1,36.4,8.6,18.8,2.7,3.4,0.3,0.0,1.8,41.3
T33,Cam Thomas,BKN,G,66,31.4,22.5,3.2,2.9,0.7,0.2,2.2,44.2,85.6,1.9,6.0,36.4,8.0,18.0,4.3,5.1,0.0,0.0,2.1,31.6
T33,Jaren Jackson,MEM,F,66,32.2,22.5,5.5,2.3,1.2,1.6,1.8,44.4,80.8,2.4,5.5,32.0,7.8,17.6,5.1,6.3,0.1,0.0,3.6,38.7
35,Paul George,PHI,F,80,34.0,22.4,5.4,3.6,1.5,0.5,3.3,46.7,90.2,2.1,8.0,41.0,7.8,16.6,3.6,4.0,0.1,0.0,2.8,38.2
36,Kyle Kuzma,WAS,F,70,32.6,22.2,6.6,4.2,0.5,0.7,2.2,46.3,77.5,2.7,6.4,33.6,8.7,18.8,2.7,3.4,0.2,0.0,2.2,37.4
37,Pascal Siakam,IND,F,97,33.6,21.7,7.1,4.2,0.8,0.3,1.0,53.7,71.7,1.6,3.0,33.8,8.6,16.1,3.4,4.7,0.2,0.0,2.5,38.2
38,Victor Wembanyama,SAS,C,71,29.6,21.4,10.6,3.9,1.2,3.6,1.8,46.5,79.6,3.7,5.5,32.5,7.8,16.7,4.1,5.2,0.6,0.0,2.2,50.8
39,Karl-Anthony Towns,NYK,F,78,32.7,21.2,8.4,3.0,0.7,0.6,2.1,49.6,87.0,2.6,5.3,40.5,7.5,15.2,4.0,4.6,0.4,0.0,3.3,37.0
T40,Alperen Sengun,HOU,C,63,32.5,21.1,9.3,5.0,1.2,0.7,0.5,53.7,69.3,2.6,1.8,29.7,8.4,15.6,3.9,5.6,0.5,0.0,3.3,43.0
T40,Jamal Murray,DEN,G,71,32.7,21.1,4.1,6.4,0.9,0.6,2.4,46.5,86.2,2.2,5.8,40.6,8.1,17.4,2.5,3.0,0.2,0.0,1.9,38.1
T42,Jerami Grant,POR,F,54,33.9,21.0,3.5,2.8,0.8,0.6,2.1,45.1,81.7,2.1,5.1,40.2,7.1,15.7,4.7,5.8,0.0,0.0,2.2,31.7
T42,Miles Bridges,CHA,F,69,37.5,21.0,7.3,3.3,0.9,0.5,2.3,46.2,82.5,2.0,6.5,34.9,8.1,17.5,2.5,3.1,0.3,0.0,1.7,37.1
44,Jimmy Butler,MIA,F,61,34.1,20.7,5.3,5.0,1.4,0.3,1.0,49.4,85.9,1.7,2.5,41.1,6.6,13.3,6.6,7.7,0.1,0.0,1.1,37.8
45,Tyler Herro,MIA,G,49,34.0,20.6,5.1,4.8,0.7,0.1,3.2,43.3,86.7,2.4,8.1,38.8,7.6,17.5,2.3,2.6,0.1,0.0,1.5,33.6
46,Brandon Ingram,NOP,F,70,33.0,20.3,5.0,5.5,0.8,0.7,1.3,48.3,81.0,2.6,3.6,35.6,7.6,15.8,3.8,4.7,0.0,0.0,2.3,36.4
47,RJ Barrett,TOR,F,58,31.7,20.2,5.4,3.3,0.5,0.4,1.6,49.5,71.5,2.2,4.3,36.0,7.5,15.2,3.6,5.0,0.0,0.0,2.2,32.3
T48,Tyrese Haliburton,IND,G,84,32.7,19.9,4.1,10.4,1.2,0.7,3.0,47.9,85.4,2.3,8.0,36.7,7.2,15.0,2.5,2.9,0.6,0.0,1.1,43.8
T48,Scottie Barnes,TOR,F,60,34.9,19.9,8.2,6.1,1.3,1.5,1.7,47.5,78.1,2.8,4.9,34.1,7.5,15.7,3.3,4.2,0.4,0.1,2.0,44.2
50,Terry Rozier,MIA,G,61,33.4,19.8,4.0,5.6,1.0,0.3,2.4,44.3,86.9,1.7,6.7,36.3,7.2,16.4,2.8,3.2,0.1,0.0,1.7,35.4
51,Franz Wagner,ORL,F,79,32.9,19.7,5.4,3.8,1.0,0.5,1.3,47.5,85.4,1.8,4.7,28.0,7.2,15.2,3.9,4.6,0.0,0.0,2.4,34.5
T52,CJ McCollum,NOP,G,72,32.9,19.6,4.3,4.6,1.0,0.6,3.4,45.3,83.0,1.8,8.3,41.5,7.3,16.0,1.6,2.0,0.0,0.0,2.0,34.6
T52,Jalen Green,HOU,G,82,31.7,19.6,5.2,3.5,0.8,0.3,2.5,42.3,80.4,2.3,7.4,33.2,6.9,16.2,3.5,4.3,0.1,0.0,1.4,32.3
T52,Mikal Bridges,NYK,F,82,34.8,19.6,4.5,3.6,1.0,0.4,2.7,43.6,81.4,2.0,7.2,37.2,6.9,15.8,3.1,3.9,0.0,0.0,1.4,32.6
T55,Devin Vassell,SAS,F,68,33.0,19.5,3.8,4.1,1.1,0.3,2.4,47.2,80.1,1.6,6.6,37.2,7.3,15.5,2.4,3.0,0.0,0.0,1.1,32.8
T55,Zach LaVine,CHI,F,25,34.9,19.5,5.2,3.9,0.8,0.3,2.4,45.2,85.4,2.1,6.8,34.9,6.8,15.0,3.5,4.1,0.0,0.0,2.3,33.0
57,Domantas Sabonis,SAC,C,84,35.8,19.4,13.6,8.2,0.9,0.6,0.4,59.3,70.9,3.3,1.1,37.1,7.7,13.0,3.6,5.0,0.9,0.3,3.1,49.4
T58,Bam Adebayo,MIA,C,78,34.2,19.3,10.3,3.9,1.1,0.9,0.2,52.0,75.0,2.2,0.7,32.1,7.5,14.5,4.0,5.3,0.6,0.0,2.3,41.1
T58,Coby White,CHI,G,81,36.5,19.3,4.6,5.1,0.7,0.2,2.6,45.0,83.8,2.1,7.0,37.5,6.9,15.4,2.8,3.4,0.1,0.0,2.4,33.1
60,Kristaps Porzingis,BOS,C,64,29.0,19.2,6.9,1.9,0.7,1.9,1.9,51.2,86.1,1.5,5.0,37.3,6.5,12.7,4.4,5.1,0.2,0.0,2.7,36.8
61,Jalen Williams,OKC,F,81,32.1,19.0,4.3,4.6,1.2,0.6,1.5,53.0,81.5,1.8,3.5,42.1,7.5,14.2,2.5,3.1,0.0,0.0,2.4,34.9
62,Collin Sexton,UTA,G,78,26.6,18.7,2.6,4.9,0.8,0.2,1.6,48.7,85.9,2.1,4.2,39.4,6.5,13.3,4.1,4.7,0.1,0.0,2.0,30.2
T63,Bradley Beal,PHO,G,57,33.7,18.1,4.3,5.0,1.0,0.5,1.9,50.8,81.3,2.5,4.5,43.0,7.1,13.9,2.0,2.4,0.1,0.0,2.5,32.5
T63,Nikola Vucevic,CHI,C,78,34.4,18.1,10.6,3.3,0.7,0.8,1.2,48.4,81.7,1.6,4.2,29.3,7.7,16.0,1.4,1.7,0.6,0.0,2.5,38.6
65,D'Angelo Russell,LAL,G,82,33.0,17.8,3.0,6.2,0.9,0.5,3.0,45.2,82.7,2.0,7.3,40.8,6.4,14.2,2.0,2.4,0.1,0.0,2.0,32.9
T66,Darius Garland,CLE,G,69,33.8,17.6,2.8,6.4,1.3,0.1,2.3,44.3,83.2,2.9,6.2,36.8,6.5,14.7,2.4,2.8,0.1,0.0,1.9,31.8
T66,Klay Thompson,DAL,F,78,29.7,17.6,3.3,2.3,0.6,0.4,3.4,42.9,92.7,1.5,8.9,38.4,6.3,14.7,1.6,1.8,0.0,0.0,1.7,26.8
T68,Jordan Poole,WAS,G,78,30.1,17.4,2.7,4.4,1.1,0.3,2.4,41.3,87.7,2.4,7.2,32.6,6.3,15.2,2.5,2.8,0.1,0.0,3.1,29.1
T68,Fred VanVleet,HOU,G,73,36.8,17.4,3.8,8.1,1.4,0.8,3.1,41.6,86.0,1.7,8.0,38.7,5.8,13.9,2.7,3.1,0.3,0.0,2.5,38.9
70,Brandon Miller,CHA,F,74,32.2,17.3,4.3,2.4,0.9,0.6,2.5,44.0,82.7,1.8,6.7,37.3,6.4,14.6,1.9,2.3,0.0,0.0,2.5,28.5
71,Jordan Clarkson,UTA,G,55,30.6,17.1,3.4,5.0,0.6,0.1,1.7,41.3,88.1,2.7,5.6,29.4,6.1,14.8,3.2,3.7,0.1,0.0,1.5,28.4
T72,Immanuel Quickley,TOR,G,68,29.2,17.0,3.8,4.9,0.7,0.1,2.5,43.4,85.3,1.5,6.4,39.5,5.7,13.1,3.1,3.6,0.1,0.0,1.8,30.0
T72,Myles Turner,IND,C,94,28.0,17.0,6.9,1.4,0.5,1.8,1.6,52.2,77.1,1.5,4.4,37.8,6.2,11.9,3.0,3.9,0.2,0.0,2.9,32.8
T74,James Harden,LAC,G,78,34.7,16.9,5.1,8.5,1.1,0.8,2.6,43.0,88.0,2.6,6.9,38.1,5.0,11.7,4.2,4.8,0.3,0.0,1.8,38.8
T74,Bogdan Bogdanovic,ATL,G,80,30.5,16.9,3.5,3.1,1.2,0.4,3.0,42.8,92.2,1.4,8.1,37.3,6.0,14.0,1.9,2.1,0.0,0.0,2.3,29.1
76,Deandre Ayton,POR,C,55,32.4,16.7,11.1,1.6,1.0,0.8,0.0,57.0,82.3,1.8,0.2,10.0,7.8,13.6,1.2,1.4,0.6,0.0,2.0,36.0
77,Michael Porter,DEN,F,93,32.3,16.6,7.0,1.5,0.6,0.7,2.7,48.2,82.4,1.2,6.8,39.8,6.3,13.2,1.2,1.5,0.2,0.0,1.9,29.7
T78,Tobias Harris,DET,F,77,34.0,16.5,6.6,3.0,0.9,0.6,1.3,48.3,87.7,1.3,3.6,34.8,6.4,13.1,2.5,2.8,0.1,0.0,1.7,32.2
T78,Jarrett Allen,CLE,C,81,31.7,16.5,10.7,2.7,0.7,1.0,0.0,63.6,73.8,1.6,0.1,0.0,6.7,10.6,3.1,4.2,0.5,0.0,1.9,37.1
80,Chet Holmgren,OKC,C,92,30.0,16.4,7.8,2.4,0.7,2.3,1.5,52.6,78.9,1.6,4.3,35.6,6.1,11.7,2.6,3.3,0.3,0.0,2.4,36.8
81,Jonathan Kuminga,GSW,F,75,26.4,16.1,4.8,2.2,0.7,0.5,0.7,52.7,74.4,1.6,2.2,31.7,6.2,11.7,3.0,4.1,0.1,0.0,2.3,27.2
T82,Khris Middleton,MIL,F,61,28.2,16.0,5.1,5.2,0.9,0.3,1.7,49.1,84.7,2.3,4.6,37.8,6.1,12.4,2.1,2.5,0.1,0.0,2.7,31.1
T82,Jalen Johnson,ATL,F,56,33.7,16.0,8.7,3.6,1.2,0.8,1.3,51.1,72.8,1.8,3.6,35.5,6.4,12.5,1.9,2.6,0.3,0.0,2.4,36.2
T84,Shaedon Sharpe,POR,G,32,33.1,15.9,5.0,2.9,0.9,0.4,1.9,40.6,82.4,2.3,5.6,33.3,5.5,13.6,3.1,3.7,0.0,0.0,2.8,27.8
T84,Donte DiVincenzo,MIN,G,94,30.1,15.9,3.7,2.7,1.3,0.5,3.5,43.9,77.8,1.4,8.6,40.4,5.6,12.7,1.2,1.5,0.0,0.0,2.1,28.4
T84,Austin Reaves,LAL,G,88,32.2,15.9,4.3,5.4,0.8,0.3,1.9,48.5,85.8,2.0,5.1,36.1,5.6,11.5,2.9,3.4,0.1,0.0,1.8,30.5
87,Evan Mobley,CLE,F,62,31.5,15.8,9.4,3.0,0.9,1.6,0.4,57.4,71.5,1.8,1.2,35.1,6.5,11.3,2.4,3.3,0.4,0.0,2.7,37.1
T88,Malcolm Brogdon,WAS,G,39,28.8,15.7,3.8,5.5,0.7,0.2,2.1,44.0,81.9,1.5,5.1,41.2,5.6,12.7,2.4,3.0,0.1,0.0,1.5,29.7
T88,Keldon Johnson,SAS,F,69,29.6,15.7,5.5,2.8,0.7,0.3,1.8,45.4,79.2,1.4,5.3,34.6,5.7,12.5,2.5,3.2,0.1,0.0,2.2,28.1
T90,Derrick White,BOS,G,92,33.2,15.5,4.3,4.9,1.0,1.2,2.8,45.9,90.5,1.4,7.1,39.8,5.4,11.7,1.9,2.1,0.1,0.0,2.1,33.2
T90,De'Andre Hunter,ATL,F,58,29.7,15.5,3.9,1.6,0.7,0.3,2.0,45.2,84.4,1.4,5.4,37.6,5.3,11.7,2.9,3.4,0.1,0.0,2.5,23.9
T92,Jaden Ivey,DET,G,77,28.8,15.4,3.4,3.8,0.7,0.5,1.6,42.9,74.9,2.5,4.8,33.6,5.4,12.6,2.9,3.9,0.0,0.0,2.6,26.6
T92,Keegan Murray,SAC,F,79,33.8,15.4,5.5,1.7,1.0,0.8,2.4,45.4,83.1,0.9,6.7,36.3,5.8,12.7,1.4,1.6,0.1,0.0,2.6,29.0
T92,Malik Monk,SAC,G,72,26.0,15.4,2.9,5.1,0.6,0.5,2.1,44.3,82.9,2.1,5.9,35.0,5.5,12.4,2.4,2.8,0.0,0.0,2.2,28.1
95,Kelly Oubre,PHI,F,75,30.9,15.2,5.0,1.5,1.2,0.7,1.5,44.3,75.4,1.3,4.7,31.5,5.6,12.7,2.5,3.3,0.1,0.0,3.0,27.9
96,John Collins,UTA,F,68,27.9,15.1,8.5,1.1,0.6,0.9,1.3,53.2,79.5,1.4,3.4,37.1,5.8,11.0,2.2,2.7,0.4,0.0,2.8,30.0
T97,Deni Avdija,POR,F,75,30.1,14.7,7.2,3.8,0.8,0.5,1.2,50.6,74.0,2.1,3.1,37.4,5.4,10.7,2.7,3.6,0.2,0.0,2.5,30.8
T97,OG Anunoby,NYK,F,59,34.4,14.7,4.4,2.0,1.3,0.8,2.0,49.1,73.5,1.5,5.2,38.6,5.7,11.7,1.3,1.7,0.0,0.0,2.3,27.6
T99,GG Jackson,MEM,F,48,25.7,14.6,4.1,1.2,0.6,0.5,2.1,42.8,75.2,1.4,6.0,35.7,5.0,11.7,2.4,3.2,0.0,0.0,1.3,23.2
T99,Bojan Bogdanovic,BKN,F,61,25.0,14.6,2.7,1.7,0.5,0.1,2.3,44.8,77.6,1.7,5.7,39.8,5.2,11.6,2.0,2.6,0.0,0.0,1.6,20.4
T101,Marcus Smart,MEM,G,20,30.2,14.5,2.7,4.3,2.1,0.3,2.1,43.0,76.8,3.1,6.7,31.3,5.1,11.9,2.2,2.8,0.0,0.0,2.7,27.9
T101,Bennedict Mathurin,IND,G,59,26.1,14.5,4.0,2.0,0.6,0.2,1.4,44.6,82.1,1.6,3.6,37.4,5.0,11.2,3.1,3.8,0.1,0.0,2.0,23.1
T101,Trey Murphy,NOP,F,63,30.7,14.5,5.0,2.2,0.9,0.6,2.9,44.0,81.7,0.7,7.7,37.5,4.8,11.0,2.0,2.4,0.0,0.0,1.3,27.7
T104,Bobby Portis,MIL,F,88,25.0,14.0,7.7,1.3,0.8,0.4,1.2,50.5,77.4,1.1,2.9,39.9,5.8,11.5,1.2,1.6,0.3,0.0,2.3,27.5
T104,Scoot Henderson,POR,G,62,28.5,14.0,3.1,5.4,0.8,0.2,1.4,38.5,81.9,3.4,4.3,32.5,5.0,12.9,2.7,3.3,0.1,0.0,3.1,25.4
T104,Dennis Schroder,BKN,G,80,31.1,14.0,3.0,6.1,0.8,0.2,1.7,43.5,83.6,1.9,4.6,37.5,5.0,11.6,2.2,2.7,0.1,0.0,2.1,27.9
107,Aaron Gordon,DEN,F,85,32.2,13.9,6.6,3.7,0.8,0.6,0.6,56.0,67.3,1.4,1.9,30.9,5.5,9.8,2.4,3.5,0.2,0.0,2.0,30.0
T108,Norman Powell,LAC,G,82,26.4,13.8,2.6,1.0,0.6,0.3,2.2,48.1,82.9,0.9,5.0,43.6,4.9,10.1,1.9,2.3,0.0,0.0,1.9,20.1
T108,Jalen Duren,DET,C,61,29.1,13.8,11.6,2.4,0.5,0.8,0.0,61.9,79.0,2.1,0.1,0.0,5.7,9.2,2.3,3.0,0.7,0.0,3.1,33.2
T110,Saddiq Bey,WAS,F,63,32.7,13.7,6.5,1.5,0.8,0.2,1.8,41.6,83.7,0.9,5.7,31.6,4.6,11.1,2.7,3.2,0.1,0.0,1.4,25.8
T110,Jabari Smith,HOU,F,76,31.8,13.7,8.1,1.6,0.7,0.8,1.8,45.4,81.1,1.2,5.0,36.3,5.0,11.0,2.0,2.4,0.2,0.0,2.6,29.1
T110,Gary Trent,MIL,G,71,28.1,13.7,2.6,1.7,1.1,0.1,2.5,42.6,77.1,0.7,6.4,39.3,5.1,11.9,1.0,1.4,0.0,0.0,1.4,22.4
113,Rudy Gobert,MIN,C,91,34.0,13.6,12.4,1.4,0.7,1.9,0.0,65.5,64.4,1.5,0.0,0.0,5.2,7.9,3.3,5.2,0.7,0.0,3.2,37.1
114,Caris LeVert,CLE,G,79,28.3,13.5,4.1,4.7,1.1,0.5,1.4,42.2,75.3,1.7,4.6,31.2,4.9,11.7,2.2,2.9,0.1,0.0,1.7,28.4
T115,Cameron Johnson,BKN,F,58,27.6,13.4,4.3,2.4,0.8,0.3,2.4,44.6,78.9,1.0,6.1,39.1,4.8,10.7,1.5,1.9,0.0,0.0,1.8,24.5
T115,Corey Kispert,WAS,F,80,25.9,13.4,2.8,2.0,0.5,0.2,2.3,48.6,72.6,1.2,6.0,38.3,4.8,9.9,1.4,2.0,0.0,0.0,1.8,20.6
117,Grayson Allen,PHO,G,77,33.2,13.3,3.9,3.0,0.9,0.6,2.7,49.6,88.1,1.3,5.8,45.8,4.4,8.9,1.7,2.0,0.0,0.0,2.1,25.7
T118,Rui Hachimura,LAL,F,74,27.2,13.2,4.2,1.2,0.6,0.3,1.4,53.2,72.2,0.6,3.4,42.3,5.2,9.7,1.4,1.9,0.1,0.0,1.5,22.1
T118,Andrew Wiggins,GSW,F,72,27.0,13.2,4.5,1.7,0.6,0.6,1.3,45.1,74.7,1.3,3.6,35.7,5.0,11.0,2.0,2.7,0.0,0.0,2.0,23.4
120,Naz Reid,MIN,C,97,24.0,13.1,5.0,1.3,0.7,0.9,2.0,47.4,73.2,1.3,4.9,40.7,4.9,10.2,1.4,1.8,0.1,0.0,2.1,24.4
121,Keyonte George,UTA,G,75,27.0,13.0,2.8,4.4,0.5,0.1,2.0,39.1,84.8,2.5,5.9,33.4,4.3,10.9,2.5,3.0,0.0,0.0,1.2,22.2
T122,P.J. Washington,DAL,F,95,31.6,12.9,5.9,1.8,0.9,0.8,1.9,43.4,69.0,1.3,5.8,32.7,4.8,11.0,1.5,2.1,0.1,0.0,2.5,26.5
T122,Tim Hardaway,DET,F,93,24.7,12.9,3.0,1.5,0.5,0.1,2.4,40.0,83.6,0.8,6.8,35.3,4.5,11.1,1.6,1.9,0.0,0.0,1.2,19.8
T122,Brook Lopez,MIL,C,85,30.7,12.9,5.1,1.6,0.5,2.3,1.9,49.4,79.2,1.0,5.0,37.0,4.8,9.8,1.4,1.8,0.1,0.0,2.4,28.9
T122,Scotty Pippen,MEM,G,21,25.0,12.9,3.2,4.7,1.7,0.5,1.4,49.3,74.5,2.7,3.4,41.7,4.8,9.7,2.0,2.6,0.0,0.0,2.9,27.6
126,Jalen Suggs,ORL,G,82,27.5,12.8,3.2,2.8,1.4,0.6,2.0,46.4,75.8,1.9,5.3,38.6,4.5,9.7,1.7,2.3,0.0,0.0,2.7,25.0
T127,Dillon Brooks,HOU,F,72,30.9,12.7,3.4,1.7,0.9,0.1,1.8,42.8,84.4,1.2,5.1,35.9,4.6,10.7,1.7,2.0,0.0,0.0,3.3,21.1
T127,Mark Williams,CHA,C,19,26.7,12.7,9.7,1.2,0.8,1.1,0.0,64.9,71.9,0.9,0.0,0.0,5.2,7.9,2.4,3.4,0.4,0.0,2.6,30.9
129,Jrue Holiday,BOS,G,88,33.9,12.6,5.6,4.7,0.9,0.7,2.0,48.5,86.2,1.7,4.6,42.3,4.9,10.0,0.9,1.1,0.1,0.0,1.7,29.6
T130,Jonas Valanciunas,WAS,C,88,23.5,12.3,9.0,2.1,0.4,0.8,0.4,55.2,79.3,1.4,1.4,30.1,4.9,8.9,2.0,2.6,0.4,0.0,2.6,28.3
T130,Cam Whitmore,HOU,F,47,18.7,12.3,3.8,0.7,0.6,0.4,1.7,45.4,67.9,1.0,4.7,35.9,4.5,9.9,1.6,2.4,0.0,0.0,1.4,20.0
T130,Harrison Barnes,SAS,F,84,29.2,12.3,3.1,1.3,0.6,0.1,1.8,47.3,79.9,0.7,4.7,39.3,4.3,9.0,1.9,2.4,0.0,0.0,1.2,19.5
133,Ayo Dosunmu,CHI,G,78,29.4,12.2,2.8,3.2,0.9,0.5,1.6,49.7,81.3,1.4,4.0,40.0,4.8,9.6,1.1,1.4,0.0,0.0,2.2,23.3
134,Duncan Robinson,MIA,F,74,26.7,12.1,2.4,2.7,0.6,0.2,2.6,44.8,88.9,1.4,6.6,39.2,4.2,9.4,1.1,1.2,0.0,0.0,2.3,20.3
T135,Tyus Jones,PHO,G,66,29.3,12.0,2.7,7.3,1.1,0.3,1.6,48.9,80.0,1.0,3.9,41.4,4.9,10.1,0.5,0.6,0.1,0.0,0.7,29.3
T135,Jaime Jaquez,MIA,F,81,28.3,12.0,3.8,2.7,1.0,0.3,0.9,48.5,81.4,1.5,2.7,32.0,4.6,9.6,1.9,2.3,0.0,0.0,2.2,22.9
T135,Ivica Zubac,LAC,C,74,26.8,12.0,9.2,1.3,0.4,1.2,0.0,64.3,71.5,1.2,0.0,0.0,5.1,8.0,1.8,2.5,0.4,0.0,2.7,28.5
T135,Javonte Green,NOP,F,11,24.5,12.0,6.9,1.1,1.2,0.7,1.0,61.4,76.5,0.7,2.7,36.7,4.9,8.0,1.2,1.5,0.1,0.0,2.0,26.9
T139,Aaron Nesmith,IND,F,89,28.7,11.9,4.0,1.6,0.9,0.7,1.8,48.5,81.0,1.0,4.6,39.2,4.2,8.7,1.6,2.0,0.0,0.0,3.4,22.7
