,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
1,Joel Embiid,PHI,C,46,34.7,34.2,11.1,5.6,1.2,1.6,1.5,51.4,88.0,3.9,4.0,37.9,11.2,21.8,10.3,11.7,0.8,0.1,2.9,60.5
2,Luka Doncic,DAL,G,92,38.3,32.7,9.3,9.4,1.5,0.5,3.8,47.7,78.2,4.0,10.4,36.9,11.2,23.4,6.5,8.3,0.7,0.3,2.2,59.9
3,Giannis Antetokounmpo,MIL,F,73,35.2,30.4,11.5,6.5,1.2,1.1,0.5,61.1,65.7,3.4,1.7,27.4,11.5,18.8,7.0,10.7,0.8,0.1,2.9,57.4
4,Shai Gilgeous-Alexander,OKC,G,85,34.7,30.1,5.7,6.2,1.9,1.0,1.3,53.0,86.4,2.2,3.6,36.3,10.7,20.1,7.4,8.6,0.1,0.0,2.5,52.8
5,Jalen Brunson,NYK,G,90,36.1,29.3,3.6,6.8,0.9,0.2,2.6,47.3,83.3,2.5,6.8,38.9,10.5,22.1,5.7,6.9,0.1,0.0,1.9,44.5
T6,Donovan Mitchell,CLE,G,65,35.7,27.1,5.1,5.8,1.8,0.5,3.2,46.4,85.6,2.8,8.9,36.6,9.4,20.2,5.0,5.9,0.1,0.0,2.3,46.0
T6,Kevin Durant,PHO,F,79,37.4,27.1,6.6,4.9,0.9,1.2,2.2,52.4,85.3,3.2,5.3,41.3,10.0,19.0,4.9,5.8,0.2,0.0,1.8,45.6
T6,Devin Booker,PHO,G,72,36.3,27.1,4.5,6.9,0.9,0.4,2.2,49.2,89.2,2.6,6.1,36.3,9.4,19.0,6.2,6.9,0.2,0.0,3.1,44.2
9,Nikola Jokic,DEN,C,91,35.4,26.7,12.5,8.9,1.4,0.8,1.1,57.7,82.9,3.0,3.1,34.2,10.5,18.2,4.6,5.6,0.8,0.3,2.5,58.7
10,De'Aaron Fox,SAC,G,76,36.1,26.6,4.6,5.6,2.0,0.4,2.9,46.4,73.3,2.6,7.9,36.4,9.8,21.1,4.2,5.7,0.1,0.0,2.6,45.4
11,Jayson Tatum,BOS,F,93,36.7,26.5,8.4,5.2,1.0,0.6,2.9,46.2,83.9,2.6,8.0,35.9,8.9,19.3,5.7,6.8,0.4,0.0,2.1,46.7
12,Stephen Curry,GSW,G,75,32.7,26.4,4.5,5.1,0.7,0.4,4.8,45.0,92.4,2.9,11.8,40.8,8.8,19.5,4.0,4.4,0.1,0.0,1.6,39.9
T13,Tyrese Maxey,PHI,G,77,38.1,26.2,3.8,6.2,1.0,0.5,3.1,45.1,87.1,1.7,8.2,37.3,9.2,20.4,4.7,5.4,0.1,0.0,2.2,42.6
T13,Anthony Edwards,MIN,G,95,36.0,26.2,5.7,5.4,1.3,0.5,2.5,46.4,83.2,3.1,6.8,36.5,9.2,19.8,5.3,6.4,0.1,0.0,1.9,43.6
15,LeBron James,LAL,F,77,35.8,25.8,7.3,8.3,1.4,0.6,2.1,53.8,75.5,3.5,5.1,40.6,9.7,18.0,4.3,5.7,0.4,0.1,1.2,49.4
16,Trae Young,ATL,G,55,36.0,25.7,2.7,10.8,1.3,0.2,3.2,42.8,85.5,4.4,8.7,37.3,7.9,18.5,6.5,7.6,0.7,0.0,2.0,45.3
17,Ja Morant,MEM,G,9,35.3,25.1,5.6,8.1,0.8,0.6,1.6,47.1,81.3,3.0,5.7,27.5,8.9,18.9,5.8,7.1,0.3,0.0,2.1,44.9
18,Anthony Davis,LAL,C,82,36.0,24.8,12.9,3.5,1.1,2.3,0.4,55.9,81.5,2.1,1.4,25.9,9.5,17.0,5.5,6.7,0.9,0.0,2.4,53.7
T19,Kyrie Irving,DAL,G,80,36.3,24.7,4.6,5.2,1.2,0.4,2.8,48.9,89.0,2.0,7.0,40.6,9.4,19.1,3.2,3.5,0.1,0.0,2.2,41.0
T19,Damian Lillard,MIL,G,77,35.5,24.7,4.3,6.9,1.0,0.2,3.1,42.3,92.4,2.6,8.7,35.8,7.5,17.6,6.6,7.2,0.2,0.0,1.8,41.2
T21,DeMar DeRozan,SAC,F,81,38.0,24.0,4.3,5.4,1.1,0.6,1.0,48.1,85.3,1.7,2.9,33.9,8.2,17.2,6.5,7.6,0.1,0.0,2.0,40.6
T21,Julius Randle,MIN,F,46,35.4,24.0,9.2,5.0,0.5,0.3,1.7,47.2,78.1,3.5,5.3,31.1,8.6,18.2,5.1,6.6,0.4,0.0,2.7,41.4
23,LaMelo Ball,CHA,G,22,32.4,23.9,5.1,8.0,1.8,0.2,3.2,43.3,86.5,3.8,9.0,35.5,8.3,19.2,4.1,4.7,0.3,0.0,3.6,44.3
24,Desmond Bane,MEM,G,42,34.4,23.7,4.4,5.5,1.0,0.5,3.3,46.4,87.0,2.7,8.6,38.1,8.6,18.5,3.3,3.8,0.1,0.0,2.9,39.2
25,Kawhi Leonard,LAC,F,70,34.1,23.4,6.2,3.5,1.6,0.9,2.0,52.4,88.2,1.8,4.9,41.1,8.9,16.9,3.6,4.1,0.1,0.0,1.4,41.8
T26,Jaylen Brown,BOS,F,89,34.2,23.2,5.6,3.5,1.2,0.6,2.0,50.3,69.2,2.4,5.8,34.8,9.0,17.9,3.1,4.5,0.1,0.0,2.7,38.0
T26,Lauri Markkanen,UTA,F,55,33.1,23.2,8.2,2.0,0.9,0.5,3.2,48.0,89.9,1.4,8.0,39.9,7.8,16.2,4.5,5.0,0.3,0.0,1.8,38.8
28,Zion Williamson,NOP,F,71,31.6,23.1,5.9,5.0,1.1,0.7,0.1,57.2,70.2,2.8,0.3,31.6,9.0,15.8,5.0,7.1,0.2,0.0,2.3,40.3
29,Paolo Banchero,ORL,F,87,35.2,22.9,7.1,5.3,0.9,0.6,1.6,45.5,72.7,3.2,4.5,34.5,8.1,17.9,5.1,7.0,0.2,0.0,1.9,40.6
30,Cade Cunningham,DET,G,62,33.5,22.7,4.3,7.5,0.9,0.4,1.9,44.9,86.9,3.4,5.4,35.5,8.5,18.8,3.8,4.4,0.2,0.0,2.5,39.4
T31,Anfernee Simons,POR,G,46,34.4,22.6,3.6,5.5,0.5,0.1,3.4,43.0,91.6,2.7,8.8,38.5,7.8,18.2,3.5,3.9,0.1,0.0,2.1,34.3
